objectid,filename,cdmid,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,youtubeid,fileid,collectionid
sg001,DSC_5164.TIF,(I do not know how content dm will play into our cllection so leave this blank),"20047-Tubing an Oil Well Preperatory to Pumping, Wetzel Co., W. Va., U.S.A.",Keystone View Company,undated,"Workers setting up an oil well.  Text on the left hand side reads ""Keystone View Company, Manufacturers & Publishers,"" vertically.  Text on the left hand side reads ""Meadeville, Pa. St. Louis. Mo. San Francisco, Cal. Toronto, Can. New York, NY. London, England.,"" vertically.  Text underneath the right hand photograth reads ""20047 - Tubing an Oil Well Preperatory to Pumping, Wetzel Co., W. Va., U.S.A.""  Stereograph is in relatively good condition with little wear. ",Oil; Industry; Labor ,West Virginia,University of Texas at Austin Paper Lab Class Collection,"Box, Card #       (Maybe something like) B2C12",Image; Black-and-white photograph,image/TIFF (this will be when we digitize it),English,,,,001.TIFF,PLC (Paper Lab Collection)
sg002,DSC_5160.TIF,,"Conroy the Guide
Dressing Room Shadow of the Rock","GEO. Barker, Photographer.",undated,"Man wearing a hat, holding a tall pole, is facing the camera and leaning against a doorway next to sign that says ""Dress and Guide- One Dollar"" in a long corridor. There are three other men sitting or posing further behind the main subject. The left hand side of the stereocard reads ""Geo. Barker, Photographer,"" vertically.  Text on the right hand side reads ""Niagara Falls, New York,"" vertically.  Text on the bottom left, underneath the left photo, reads ""Conroy the Guide, Dressing Room Shadow of the Rock.""  Stereograph faded and there is a notable water stain on the lefthand side and a black circle near the main subject's face on the righthand side. ",Industry; Labor,"Niagra Falls, NY",University of Texas at Austin Paper Lab Class Collection,B1C3,"Image, Sepia photograph",image/TIFF,English,,,,002.TIFF,PLC (Paper Lab Collection)
sg003,DSC_5172.TIF,,13740 - Harvesting Indian River Pineapples in Florida.,Keystone View Company,1900,"Workers in a grassy field carrying and collecting a pineapple crop in baskets. There is a small building and water tower in the background. Text on the left-hand side reads ""Keystone View Company, Manufacturers Publishers, Copyrighted, Made in the U.S.A.,"" vertically.  Vertical text on the right-hand side reads ""M[e]adville, Pa., New York, N.Y., Portland, Oregon, London, Eng., Syndey, Aus.""  Text below the right-hand photograph reads ""13740 - Harvesting Indian River Pineapples in Florida."" The stereocard is faded but in otherwise good condition.",Agriculture; Labor,Florida,University of Texas at Austin Paper Lab Class Collection,B2C2,"Image, Sepia photograph",image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg003b,DSC_5173.TIF,,13740 - Harvesting Indian River Pineapples in Florida.,Keystone View Company,1900,"Text reads ""6
13740--Harvesting Indian River Pineapples in Florida.
The Pineapple (Anassa sativa) is a native of the American tropics.  It is the only fruit of large value which did not originate in Asia.  it is called pineapple because of the resemblance of the fruit to the pine cone.  For a long time its cultivation was restricted to the Isle of Eleuthera in the Bahamas, though now it is found everywhere in the tropics, very considerable plantations being established in Southern Florida.   In Eng-land it is grown under glass.  The fruit is most fragrant and largely used as a des-sert.  It is also preserved in sugar or in brandy, and is a large and growing item in our commerce with the tropics.  New York is the chief market.  The plant is stemless, the fruit growing from the ground from a clump of thick, fleshy and spinous leaves.  It [i]s propagated by suckers or by the tuft on the top of the fruit.  It is a most uncomfortable crop to handle because of its hard spines, heavy gloves and leggings being required by the workmen.  the Florida crop, gath-ered when ripe enough to ship, is collected in baskets, carried on the packing shed to a narrow gauge railway., and shipped fresh to the northern market.  It is a large and growing industry.
We pass on through the Florida Straits and across the Gulf of Mexico to Mexico.
Copyright 1909 by Keystone View Company.""
The streocard has slight discoloration, foxing, and staining, along with a tear to the bottom right-hand corner.",Agriculture; Labor,,,,Text,,,,,,,
sg004,DSC_5176.TIF,,"20045- Drilling for Oil, Wetzel Co., W. Va., U.S.A.",Keystone View Company,1906,"Two men in an industrial room operating machinery used to drill for oil. Vertical text on the left-hand side reads "" Keystone View Company, Manufacturers & Publishers Copyright 1906 by Keystone View Company.""  Vertical text on the right-hand side reads ""Meadville, Pa. St. Louis, Mo. San Francisco, Cal. Toronto, Can. New York, NY London, England.""  Text below the right-hand photograph reads ""22045 - Drilling for Oil, Wetzel Co., W. Va., U. S. A.""  The stereocard is in good condition. ",Oil; Industry; Labor ,West Virginia,University of Texas at Austin Paper Lab Class Collection,B2C9,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg005,DSC_5184.TIF,,"20046--Torpedoing an Oil Well, Wetzel Co., W. Va., U.S.A.",Keystone View Company,undated,"Five men in a industrial room operating machinery used to torpedo an oil well. Vertical text along the left-hand side reads"" Keystone View Company Manufacturers and Publishers.""  Vertical text on the right-hand side ""Meadville, Pa. St. Louis, Mo. San Francisco, Cal. Toronto, Can. New York, NY London, England.""  Text below the right-hand photograph reads ""20046--Torpedoing an Oil Well, Wetzel Co., W. Va., U.S.A.""  Sterocard is in good condition. ",Oil; Industry; Labor ,West Virginia,University of Texas at Austin Paper Lab Class Collection,B2C10,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg006,DSC_5179.TIF,,"Sheep Raising, an extensive industry in Northern Arizona",Underwood & Underwood,1903,"A person standing in front of a big heard of black and white sheep. In the background there is one person on a horse and another person standing behind the herd of sheep. Vertical text along the left-hand side reads ""Underwood & Underwood, Publishers. New York, London, Toronto-Canada, Ottawa-Kansas.""  Vertical text on the right-hand side reads ""Works and Studios~Arlington, N.J. Westwood, N.J.""  In this text there is text within sun rays that reads ""Sun Sculpture Trade Mark.""  Text below the right-hand photograph reads ""Sheep Raising, an extensive industry in Northern Arizona. Copyright 1903 by Underwood & Underwood.""  The stereograph is faded and discolored, but in otherwise good condition.",Agriculture; Labor; Sheep; Livestock,Northern Arizona,University of Texas at Austin Paper Lab Class Collection,B1C2,"Image, Sepia photograph",image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg006b,DSC_5180.TIF,,"Sheep Raising, an extensive industry in Northern Arizona (verso)",Underwood & Underwood,1903,"Text at the top left-hand corner reads (1) Western Scenery (School Position).""  Text below, centered, reads ""6159. – Sheep-raising, an extensive industry in northern Arizona.
Elevages des moutons, grande industrie dr l’Arizona septentronial. 
Schafzüchterei, eine bedeutende industrie im nördlichen Arizona.
La crianza de ovejas, industria extensivaen el norte de Arizona.
Fårafvel, en vidsträckt industri i nordliga Arizona.
Разведеніе овецъ, обшираная промышленноцтъ въ съверной Аризонъ.",Agriculture; Labor; Sheep; Livestock,Northern Arizona.,University of Texas at Austin Paper Lab Class Collection,B2C3B,Image; Sepia photograph,,"English, French, German, Spanish, Swedish, Russian",,,,,
sg007,DSC_5182.TIF,,"V19228--Wounded Soldier About to Undergo Operation ; Hospital No. 5, N.Y.",Keystone View Company,undated,"Seven people in medical apparel standing around a patient on a gurney covered from the neck down in a sheet. There is one person in millitary apparel standing in the back. Verticfal text left-hand side reads ""Keystone View Company Manufacture[r]s Publishers, Coprigh[t]ed.  Underwood & Underwood. MADE IN U.S.A.""  Vertical text on the right-hand side reads ""Meadville, Pa. St. Louis, Mo. San Francisco, Cal. Toronto, Can. New York, NY London, England.""  Text below the right-hand photograph reads ""V19228--Wounded Soldier About to Undergo Operation ; Hospital No. 5, N.Y.""  Stereocard has been eroded in many small spots on the lefthand side. ",Medical; Labor; Surgery,New York,University of Texas at Austin Paper Lab Class Collection,B2C3,Image; Black-and-white photograph,image/TIFF,English,,,,,PLC (Paper Lab Collection)
sg007b,DSC_5183.TIF,,"V19228- Wounded Soldier About to Undergo Operation ; Hospital No. 5, N.Y.",Keystone View Company,undated,"Text at the top left hand corner reads ""V19228.""  Text a the top right hand side reads ""Lat. 41 N.; Long. 74 W."" Text below reads "" HOSPITAL No. 5, NE[W] YORK.
Anyone with a spark of feel[in]g [m]ust be im-pressed by a scene like this.  S[imil]ar scenes were enacted thousands of times [du]ring the Great War, not only in this perectly ap-pointed hospital far from the menace of burst-ing shells, where the surgeon could operate calmly, unpressed by haste, but close behind the front, in rudely constrcued shelter crowded with patients, exposed to the incur-sions of enemy planes, wonderful surgery waws perfromed by the overworked surgeons, who operated with fevreish haste amid the smell of blood and iodoform; the the floor was lit-tered with torn bandages, and tubs of ampu-tated limbs stood here and there.
These are the terr[ib]le by-products of war : suffering, pain, mutilation; patients moaning, muttering in delirium; in sleep fighting their battles over, shouting, cursing or pathetically resigned, weak and h[e]lpless.
Here, in this fine hospital, every care was lavished upon the patient.  [Sy]mpathetic nurses ministered to his eve[ry] wan[t.]  Near the front it was often kill or cure; so many thousands waited the surgeons' hands.  In rows they [la]y upon the floor--he has no time for the refine-ments of his profession.  The nurses worked [t]o the limit od human endurance.  They hur-[r]ied from case to case and had little time for gentle administrations.
Here was to be found every appliance of modern medical science: operating rooms, X-Ray rooms, dental offices, diet kitchens, all co-ordinated to the single purpose of restor-ing health.  Marvelous results were obtained, wonderful operatrions performed, health re-stored were death seemed to have set his seal upo[n] the patient in advance.""
Text at the bottom right-hand corner reads ""Copyright by the Keystone View Company.""",Medical; Labor; Surgery,New York,University of Texas at Austin Paper Lab Class Collection,B2C3B,Text,,English,,,,,
